 ›   Warning: @salesforce/cli update available from 2.133.4 to 2.140.6.
Querying Data... done
Name,npsp__Opportunity_Name_Format__c,npsp__Date_Format__c,npsp__Opportunity_Record_Types__c
Opportunity Naming,{!Account.Name} {!Amount} {!RecordType.Name} {!CloseDate},MM/dd/yyyy,012an000004vZ6vAAE;012an000004vZ6wAAE;012an0000051o6LAAQ;012an0000051oBBAAY;012an0000051oEPAAY;012an0000051oHdAAI
"4/16/2026, 8:08 AM",{!Account.Name} {!Amount} {!RecordType.Name} {!CloseDate},MM/dd/yyyy,012an000004vZ6vAAE;012an0000051oHdAAI;012an0000051o6LAAQ;012an0000051oBBAAY;012an0000051oEPAAY;012an000004vZ6wAAE
