org_id,account_name,account_id,has_2026_02_modified_today,record_id,metric_period_key,date,last_modified_by,last_modified_at
00D5e000000JgMzEAK,CMOO - Children's Museum of Oswego,001f200001ud2NuAAI,YES,a3wVs000001svC1IAI,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:30:09
00DfK00000O9zUfUAJ,Pittsburgh Glass Center,001Vs00000EHrG5IAL,YES,a3wVs000001tC81IAE,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:39:31
00D3t000000ydtZEAQ,American Visionary Art Museum (AVAM),0015w00002EOweeAAD,YES,a3wVs000001tBofIAE,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:28:24
00D46000000XyaHEAS,Orillia Museum of Art & History,001f200001Nmit5AAB,YES,a3wVs000001tBqHIAU,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:39:13
00Di0000000K440EAC,Angels Gate Cultural Center,001Vs00000SDXBBIA5,YES,a3wVs000001tCETIA2,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:28:15
00D5e0000013EzcEAE,Lowe Art Museum - University of Miami,0015w000025HPqXAAW,YES,a3wVs000001t8naIAA,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:36:07
00D5e0000019uSdEAI,Morven Museum & Garden,0015w00002Ni4HmAAJ,YES,a3wVs000001t8Z4IAI,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:37:16
00D5e000002U6W3EAK,YBCA (Yerba Buena Center for the Arts),0015w00002Ti2vcAAB,YES,a3wVs000001tBtVIAU,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:44:41
00D5f000006Oka6EAC,The Sailing Museum & National Sailing Hall of Fame,0015w00002TgBlgAAF,YES,a3wVs000001tBwjIAE,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:42:54
00D4P000000k1zdUAA,MacRostie Art Center,001f200001xc1LVAAY,YES,a3wVs000001tBrtIAE,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:36:16
00D5f000001ywh3EAA,Shaw Centre for the Salish Sea,0015w00002QXaeRAAT,YES,a3wVs000001tBv7IAE,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:41:04
00D4100000072AOEAY,Santa Barbara County Office of Arts and Culture,0016000001HdRxtAAF,NO,,,,,
00D8c00000262C1EAI,Museum Center at Five Points,0015w00002ZoC7aAAF,YES,a3wVs000001tC3BIAU,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:37:26
00Dam00001W0trvEAB,Huntington African American Museum,001Vs00000czWwXIAU,YES,a3wVs000001tC4nIAE,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:34:19
00DHs000003WvSzMAK,Southern Alberta Art Gallery,0015w00002eifQ4AAI,YES,a3wVs000001tCCrIAM,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:41:15
00D8b0000013ig8EAA,Museu Judaico de São Paulo,0015w00002bJHTXAA4,YES,a3wVs000001tC1ZIAU,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:37:32
00DHs000000Q8MBMA0,Edenton Historical Commission,0018W00002FphLhQAJ,YES,a3wVs000001tCBFIA2,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:31:18
00D5Y000002WAtVUAW,Las Vegas Natural History Museum,0015w00002QVetRAAT,YES,a3wVs000001tByLIAU,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:35:23
00DDn0000014ZdrMAE,Jackson Hole Children's Museum,0018W00001zjmsNQAQ,YES,a3wVs000001tC6PIAU,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:34:40
00DHr00000MAIX0MAP,Schoolhouse Childrens Museum,001Vs0000076zMbIAI,YES,a3wVs000001tC9dIAE,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:40:29
00D6g000000vpgCEAQ,The Calgary Stampede,0018W00002EEidVQAT,YES,a3wVs000001tBzxIAE,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:41:51
00DHu000002tXPeMAM,New England Air Museum (Connecticut Aeronautical Historical Association),001f200001jivEHAAY,YES,a3wVs000001uH2PIAU,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:38:23
00Di0000000HU3uEAG,Turtle Conservancy,0018W00002FxXv0QAF,YES,a3wVs000001uH7FIAU,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:43:31
00Dao00001WilhYEAR,Children's Museum of Rock County,001Vs00000lvHp9IAE,YES,a3wVs000001uGhRIAU,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:29:58
00Da500001WR4scEAD,Leonardo da Vinci Museum of North America,001Vs00000aPi66IAC,YES,a3wVs000001uGfpIAE,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:35:28
00D0b000000wT07EAE,AKC Museum of the Dog,001f200001YmR1CAAV,YES,a3wVs000001uG4jIAE,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:27:48
00D0b000000C767EAC,Creative Discovery Museum,001f200001hR2ClAAK,YES,a3wVs000001uG37IAE,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:30:38
00DHr00000783nxMAA,Sciencenter,0018W00001t64v7QAA,YES,a3wVs000001uGxZIAU,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:40:43
00D600000006mYCEAY,Betty Brinn Children's Museum,001f200001NmxgHAAR,YES,a3wVs000001uGW9IAM,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:29:20
00D4S000001bPT6UAM,Connecticut River Museum,0018W00001t6k8yQAA,YES,a3wVs000001uGEPIA2,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:30:16
00D8Z000000snO4UAI,Cedarhurst Center for the Arts (John R & Eleanor R Mitchell Foundation),0018W00001o6FxEQAU,YES,a3wVs000001uGcbIAE,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:29:49
00DHr000001s53CMAQ,London Children's Museum,0015w00002QVODuAAP,YES,a3wVs000001uGsjIAE,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:35:55
00Dfi000003ud4zEAA,Carolina Raptor Center,001Vs000007jpK6IAI,YES,a3wVs000001uGntIAE,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:29:39
00D5f000007FwGbEAK,Queens Museum,0016000001HCap6AAD,YES,a3wVs000001uGRJIA2,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:39:51
00D3t000004nvW5EAI,Four Mile Historic Park,0018W00001t8FGWQA2,YES,a3wVs000001uGBBIA2,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:32:46
00DHr000004DaceMAC,Musée d'art Joliette,0018W00001qQpp3QAC,YES,a3wVs000001uGvxIAE,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:37:54
00D4x000004zsU4EAI,Newport Restoration Foundation,0015w00002JbQboAAF,YES,a3wVs000001uGG1IAM,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:38:32
00DG0000000i0dgMAA,Golisano Children's Museum of Naples,001f2000020tH6HAAU,YES,a3wVs000001uGpVIAU,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:33:30
00DHr0000010cQHMAY,Keystone Kidspace,0018W00002GPJTUQA5,YES,a3wVs000001uGr7IAE,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:34:50
00DDp000000febDMAQ,New Bedford Art Museum,0018W00002CS22hQAD,YES,a3wVs000001uGmHIAU,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:38:11
00DHs000003WMRWMA4,Sonoma Botanical Gardens,0018W00002VeHvUQAV,YES,a3wVs000001uH0nIAE,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:41:14
00DHr000003YsMQMA0,Pyramid Hill Sculpture Park & Museum,0018W00002XVq5CQAT,YES,a3wVs000001uGZOIA2,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:39:40
00D5e000001CHXIEA4,Beaverbrook Art Gallery,0015w00002QWreNAAT,YES,a3wVs000001uGJFIA2,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:28:57
00DHu00000JxdQqMAJ,"Valiant Air Command, Inc.",001Vs00000IV0RBIA1,YES,a3wVs000001uH5dIAE,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:43:41
00DDn000000IXOVMA4,The Children’s Museum at Saratoga,0015w00002ZoBDAAA3,YES,a3wVs000001uGj3IAE,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:42:04
00DHr000001uSgwMAE,Hart Square Foundation Inc,0018W00002PHyQNQA1,YES,a3wVs000001uGuLIAU,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:33:46
00D5e000003SlxHEAS,Wonder Works Children's Museum,0015w00002Thx9QAAR,YES,a3wVs000001uGKrIAM,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:44:28
00D8a000001Qol5EAC,The Rabbit hOle,0015w000025HPoWAAW,YES,a3wVs000001uGXlIAM,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:42:51
00DHu000003MEfZMAW,Wildlife Images Rehabilitation and Education Center,0018W00002XViyEQAT,YES,a3wVs000001uH41IAE,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:44:14
00D8V0000038VEFUA2,North Dakota's Gateway to Science,0018W00001qRKpQQAW,YES,a3wVs000001uGPiIAM,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:38:46
00D5f000002cE2rEAE,Vivalon,0018W00001hhS5WQAU,YES,a3wVs000001uGO5IAM,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:43:54
00D5f000006PSAiEAO,American Airlines CR Smith Museum,0015w00002TiZV0AAN,YES,a3wVs000001uGPhIAM,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:28:00
00D5e000001BfS1EAK,Hawaii Tropical Bioreserve & Garden,0015w00002HOr4lAAD,YES,a3wVs000001uGHdIAM,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:33:59
00D5f000007G1hkEAC,Hammond Castle Museum,0015w00002QVJRsAAP,YES,a3wVs000001uGSvIAM,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:33:39
00D46000000Zb81EAC,Art Gallery of Burlington,001f200001xcdlTAAQ,YES,a3wVs000001nVuvIAE,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:28:26
00DKj000002YB43MAG,Krasl Art Center,001Vs000002f32VIAQ,YES,a3wVs000001uH8rIAE,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:35:10
